parent_id,sku,brand,title,category,color,size,material,price,stock,barcode
BIKE-001,BIKE-001,Trek,Mountain Bike Pro,Bikes,,,,0,0,
BIKE-001,BIKE-001-RED-M,,,,,Red,Medium,,599.99,50,123456001
BIKE-001,BIKE-001-RED-L,,,,,Red,Large,,649.99,30,123456002
BIKE-001,BIKE-001-BLUE-M,,,,,Blue,Medium,,599.99,45,123456003
BIKE-001,BIKE-001-BLUE-L,,,,,Blue,Large,,649.99,25,123456004
PHONE-002,PHONE-002,Samsung,Galaxy S24,Phones,,,,0,0,
PHONE-002,PHONE-002-BLK-64,,,,,Black,64GB,,799.99,100,789012001
PHONE-002,PHONE-002-BLK-128,,,,,Black,128GB,,899.99,80,789012002
PHONE-002,PHONE-002-WHT-64,,,,,White,64GB,,799.99,90,789012003
PHONE-002,PHONE-002-WHT-128,,,,,White,128GB,,899.99,75,789012004
SHIRT-003,SHIRT-003,Nike,Running Shirt,Apparel,,,,0,0,
SHIRT-003,SHIRT-003-RED-S,,,,,Red,Small,,29.99,200,456789001
SHIRT-003,SHIRT-003-RED-M,,,,,Red,Medium,,29.99,250,456789002
SHIRT-003,SHIRT-003-RED-L,,,,,Red,Large,,29.99,180,456789003
SHIRT-003,SHIRT-003-BLUE-S,,,,,Blue,Small,,29.99,150,456789004
SHIRT-003,SHIRT-003-BLUE-M,,,,,Blue,Medium,,29.99,220,456789005
SHIRT-003,SHIRT-003-BLUE-L,,,,,Blue,Large,,29.99,160,456789006
